gMLP	SVR	SPLS	XGBoost	BayesA
Zm00001d028606	Zm00001d028388	Zm00001d028332	Zm00001d027824	Zm00001d028084
Zm00001d028631	Zm00001d028397	Zm00001d028368	Zm00001d027846	Zm00001d028092
Zm00001d028641	Zm00001d028408	Zm00001d028369	Zm00001d027851	Zm00001d028093
Zm00001d028670	Zm00001d028428	Zm00001d028397	Zm00001d027880	Zm00001d028096
Zm00001d028676	Zm00001d028456	Zm00001d028453	Zm00001d027916	Zm00001d028105
Zm00001d028726	Zm00001d028477	Zm00001d028472	Zm00001d027921	Zm00001d028109
Zm00001d028744	Zm00001d028495	Zm00001d028504	Zm00001d027937	Zm00001d028128
Zm00001d028746	Zm00001d028497	Zm00001d028509	Zm00001d027943	Zm00001d028143
Zm00001d028757	Zm00001d028504	Zm00001d028511	Zm00001d027971	Zm00001d028175
Zm00001d028759	Zm00001d028511	Zm00001d028512	Zm00001d028004	Zm00001d028210
Zm00001d028769	Zm00001d028534	Zm00001d028538	Zm00001d028006	Zm00001d028297
Zm00001d028771	Zm00001d028538	Zm00001d028540	Zm00001d028007	Zm00001d028317
Zm00001d028777	Zm00001d028540	Zm00001d028542	Zm00001d028013	Zm00001d028349
Zm00001d028915	Zm00001d028549	Zm00001d028558	Zm00001d028018	Zm00001d028365
Zm00001d028919	Zm00001d028550	Zm00001d028560	Zm00001d028035	Zm00001d028369
Zm00001d028974	Zm00001d028558	Zm00001d028565	Zm00001d028036	Zm00001d028370
Zm00001d029012	Zm00001d028576	Zm00001d028571	Zm00001d028038	Zm00001d028397
Zm00001d029035	Zm00001d028593	Zm00001d028575	Zm00001d028045	Zm00001d028422
Zm00001d029039	Zm00001d028597	Zm00001d028606	Zm00001d028046	Zm00001d028436
Zm00001d029041	Zm00001d028653	Zm00001d028639	Zm00001d028073	Zm00001d028453
Zm00001d029048	Zm00001d028660	Zm00001d028680	Zm00001d028084	Zm00001d028472
Zm00001d029053	Zm00001d028696	Zm00001d028690	Zm00001d028085	Zm00001d028493
Zm00001d029055	Zm00001d028715	Zm00001d028694	Zm00001d028093	Zm00001d028509
Zm00001d029098	Zm00001d028742	Zm00001d028715	Zm00001d028096	Zm00001d028542
Zm00001d029102	Zm00001d028771	Zm00001d028730	Zm00001d028098	Zm00001d028570
Zm00001d029135	Zm00001d028783	Zm00001d028749	Zm00001d028103	Zm00001d028601
Zm00001d029165	Zm00001d028785	Zm00001d028757	Zm00001d028104	Zm00001d028631
Zm00001d029170	Zm00001d028796	Zm00001d028759	Zm00001d028109	Zm00001d028660
Zm00001d029174	Zm00001d028797	Zm00001d028770	Zm00001d028125	Zm00001d028676
Zm00001d029190	Zm00001d028801	Zm00001d028774	Zm00001d028128	Zm00001d028680
Zm00001d029227	Zm00001d028802	Zm00001d028797	Zm00001d028143	Zm00001d028690
Zm00001d029251	Zm00001d028804	Zm00001d028818	Zm00001d028160	Zm00001d028754
Zm00001d029254	Zm00001d028836	Zm00001d028825	Zm00001d028169	Zm00001d028759
Zm00001d029263	Zm00001d028868	Zm00001d028827	Zm00001d028175	Zm00001d028770
Zm00001d029272	Zm00001d028890	Zm00001d028837	Zm00001d028180	Zm00001d028796
Zm00001d029365	Zm00001d028915	Zm00001d028873	Zm00001d028188	Zm00001d028809
Zm00001d029498	Zm00001d028974	Zm00001d028885	Zm00001d028205	Zm00001d028889
Zm00001d029504	Zm00001d028994	Zm00001d028889	Zm00001d028210	Zm00001d028926
Zm00001d029527	Zm00001d028999	Zm00001d028920	Zm00001d028214	Zm00001d028931
Zm00001d029530	Zm00001d029004	Zm00001d028987	Zm00001d028217	Zm00001d029012
Zm00001d029531	Zm00001d029009	Zm00001d029012	Zm00001d028218	Zm00001d029039
Zm00001d029546	Zm00001d029011	Zm00001d029039	Zm00001d028232	Zm00001d029041
Zm00001d029548	Zm00001d029040	Zm00001d029040	Zm00001d028265	Zm00001d029048
Zm00001d029550	Zm00001d029077	Zm00001d029041	Zm00001d028307	Zm00001d029053
Zm00001d029566	Zm00001d029130	Zm00001d029048	Zm00001d028311	Zm00001d029055
Zm00001d029573	Zm00001d029150	Zm00001d029053	Zm00001d028338	Zm00001d029077
Zm00001d029587	Zm00001d029165	Zm00001d029055	Zm00001d028349	Zm00001d029083
Zm00001d029590	Zm00001d029193	Zm00001d029098	Zm00001d028363	Zm00001d029098
Zm00001d029603	Zm00001d029196	Zm00001d029120	Zm00001d028370	Zm00001d029120
