Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0009097~isoleucine biosynthetic process	8	0.131233596	0.006848171	103643901, 100191334, 100279727, 103625947, 100274341, 100193695, 100381801, 100285396	4081	14	22395	3.135786047	0.999993315	0.626686606	0.625602373
GOTERM_BP_DIRECT	GO:0032968~positive regulation of transcription elongation by RNA polymerase II	11	0.180446194	0.021453631	103636333, 100384249, 103639350, 100279958, 100382566, 100383830, 103640990, 100381525, 100279243, 100282440, 103631885	4081	28	22395	2.155852907	1	1	0.998845932
GOTERM_BP_DIRECT	GO:1902531~regulation of intracellular signal transduction	18	0.295275591	0.010689366	100382150, 100382074, 100284946, 100279578, 103627089, 100282657, 100285223, 103635987, 103653562, 100285147, 100191414, 100283146, 100283184, 100286089, 100381549, 100384837, 100284392, 100273364	4081	53	22395	1.863721896	0.999999992	0.842516414	0.841058773
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	28	0.459317585	0.014773228	103630746, 100382371, 100278444, 100277073, 103644012, 103632344, 100191898, 541857, 100304245, 541858, 100193412, 100272304, 103656056, 100501407, 541864, 103648200, 103646141, 541865, 103652124, 103637908, 541863, 100381510, 100382602, 542638, 100384406, 103651216, 103645796, 103642347	4081	98	22395	1.567893023	1	0.980826248	0.979129317
GOTERM_BP_DIRECT	GO:0009909~regulation of flower development	19	0.31167979	0.015126332	103633607, 100281289, 100194045, 541684, 100283743, 100147736, 100381775, 100526751, 103646270, 100381986, 100383826, 100280240, 100285492, 107403067, 103633122, 103651041, 103626702, 100275462, 103641424	4081	59	22395	1.767201459	1	0.980826248	0.979129317
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	18	0.295275591	0.026454411	100191282, 100193362, 103630229, 100281027, 100194244, 541877, 100502333, 103652794, 100281457, 100283211, 100191469, 100282761, 100191672, 100192652, 100274428, 100217124, 100279270, 100281538	4081	58	22395	1.703056215	1	1	0.998845932
GOTERM_BP_DIRECT	GO:0007163~establishment or maintenance of cell polarity	6	0.098425197	0.034985188	541930, 542503, 541774, 542094, 100274133, 542739	4081	11	22395	2.993250317	1	1	0.998845932
GOTERM_BP_DIRECT	GO:0048579~negative regulation of long-day photoperiodism, flowering	4	0.065616798	0.045129052	103653048, 100147736, 100381553, 103641424	4081	5	22395	4.390100466	1	1	0.998845932
